インタビューします,インタビューする,,1,動Ⅲ,采访,interview,他,,
担当します,たんとうする,担当する,0,動Ⅲ,负责、担任,,他,,
,アルバイトさき,アルバイト先,0,,打工处,,,,
,~さき,~先,-1,,~处、~地,,,,
,てんちょう,店長,1,,店长、商店经理,,,,
,けんしゅう,研修,0,,研修、实习,,,,
話し合います,はなしあう,話し合う,4,動Ⅰ,商量、协商,,他,,
通勤します,つうきんする,通勤する,0,,上下班,,自,,
,これまで,,-1,,至今,,,,
減らします,へらす,減らす,0,動Ⅰ,减少,,他,,
引っ越します,ひっこす,引っ越す,3,動Ⅰ,搬家,,自,,
,~かこく,~か国,-1,,~个国家,,,,
,かてい,家庭,0,,家庭,,,,
,じじょう,事情,0,,情况、有事(发生),,,,
,ようちえん,幼稚園,3,,幼儿园,,,,
昼寝します,ひるねする,昼寝する,0,動Ⅲ,午睡,,自,,
帰国します,きこくする,帰国する,0,動Ⅲ, 回国,,自,,
,らいしゃ,来社,0,,来公司,,,,
,しんせいひん,新製品,3,,新产品,,,,
,しん~,新~,-1,,新的~(刚做出来的、最新的),,,,
,はっぴょうかい,発表会,3,,发布会,,,,
,いつまでも,,1,,总是、永远了,,,,
,けいき,景気,0,,景气,,,,
,これいじょう,これ以上,3,,再、更加,,,,
,もり,森,0,,森林,,,,
うけます,うける,受ける,2,動Ⅱ,接受,インタビューを受ける(インタビューをうける):接受采访,他,,
,ようぼう,要望,0, ,要求、期望,,,,
,ほんとうは,本当は,0,,说真的,,,,
,おとなしい,,4,,老实、听话,,,,
,こえ,声,1,,声音,市民の声(しみんのこえ):市民的心声,,,
しゃべります,しゃべる,,2,,说、谈话、聊天,,自,,
振ります,ふる,振る,0,動Ⅰ,抛弃,彼女を振る(かのじょをふる):抛弃她,他,,
,ティーシャッ,,0,,汗衫、T恤,Ｔシャツ,,,
,かず,数,1,,数量,,,,
切ります,きる,切る,1,動Ⅰ,挂断,電話を切る(でんわをきる):挂断电话,他,,
,ひしょ,秘書,1,,秘书,,,,
,きょうじゅ,教授,1,,教授,,,,
,わざわざ,,1,,特意,,,,
取ります,とる,取る,1,動Ⅰ,留出、腾出[,時間を取る(じかんをとる):留出时间,他,,
,できれば,,3,,如果可以,,,,
変更します,へんこうする,変更する,0,動Ⅲ,变更、更改,,他,,
,きゅうよう,急用,0,,急事,,,,
気にします,きにする,気にする,0,動Ⅲ,在意、放在心上,,他,,
,とりひきさき,取引先,0,,客户,,,,
,がくせいよう,学生用,0,,学生用的,,,,
,~よう,~用,-1,,~用,,,,
,コンピュータしつ,コンピューター室 ,-1,,电脑室,,,,
,~しつ,~室,-1,,~室,,,,  
,じゅうたい,渋滞,0,,堵车,,,,
,しゅんかん,瞬間,0,,瞬间、一刹那,,,,
,いしき,意識,1,,认识、意识,,,,
,アンケート,,1|3,,问卷调查,French “enquête”,,,
,ちょうさ,調査,1,,调查,,,,
,けいこう,傾向,0,,倾向,,,,
避けます,さける,避ける,2,動Ⅱ,避免,,他,,
,グラフ,,1,,图表、表,,,,
,とき,時,0,,时间、时候,,,,
,さいこうに,最高に,0,, 最
,もうひとつ,もう一つ,2,,还有一个、另一个,,,,
,あいだ,,0,,~期间,,,,
,ぜんしゃ,前者,1,,前者,,,,
,こうしゃ,後者,1,,后者,,,,
,やはり,,2,,仍然、还是,,,,
,こい,恋,1,,恋爱,,,,
,しあわせ,幸せ,0,,幸福,,,,
感じます,かんじる,感じる,0,動Ⅱ,感觉、觉得,,自他,,
寝坊します,ねぼうする,寝坊する,0,動Ⅲ,睡懒觉、睡过头,,自,,
,きけん,危険,0,,危险,,,,
,ねがお,寝顔,0,,睡觉时的脸,,,,
,おでんわ、かわりました,お電話、代わりました, -1,,是我，是……(意思是由我来接您的电话。从最先接电话的人手中接过电话时使用),,,,
,どうかしましたか,,-1,,你怎么了?出什么事了?,,,,
,わざわざ、~ていただいたのに、……,,-1,, 特意让您~，没想到……(表示事负了对方的好意而抱歉的心情。),,,,
,こまりましたね,困りましたね,-1,,很为难呀。不好办呀。,,,,
,できれば、~ていただけないでしょうか,,-1,,如果可以的话，能否请您~（客气地表达自己的请求。）,,,,
,おいでください,,-1,,请来一下,,,,
,もうしわけありませんでした,申し訳ありませんでした,-1,,非常抱歉。,,,,
,とうほく,東北,0,,东北:日本的东北地区(含青森、岩手、秋田、山形、富城、福岛6个县)。,,,,
